Mg25_ppm,P31_ppm,Sr88_ppm,Y89_ppm,Ba137_ppm,Pb208_ppm,U238_ppm,dft_mm,Age_cal_yr_bp
1176.340444,49.44110074,15.18979013,0.067921452,4.510279573,0.04,0.07877876,32.51855744,65326
1131.978898,53.30249107,15.55794888,0.025530896,4.566318996,0.124824619,0.057966554,32.544593,65328
1098.302408,53.99792,18.07664426,0.02105703,6.592779726,0.129664501,0.081669792,32.57062844,65329
1053.90034,48.78093975,19.1025246,0.029266415,7.320719863,0.04,0.042156132,32.59594082,65330
1064.634536,53.53801985,18.69792377,0.031590137,6.323686037,0.04,0.155139932,32.62125322,65330
1091.025876,58.689573,22.41295982,0.024657381,8.097585277,0.225919543,0.248549433,32.64728878,65332
1051.373526,44.69131295,25.90666833,0.011306692,9.764999828,0.04,0.155195431,32.67260118,65332
952.4541741,40.37696143,23.37223043,0.005,8.545322234,0.04,0.043587455,32.69791356,65333
903.8684357,49.53455168,20.29525684,0.01020727,7.166299242,0.04,0.113670271,32.723949,65335
982.0405462,45.67573941,20.48658313,0.008178665,7.03126501,0.04,0.072502338,32.74998456,65336
1009.242632,38.26445293,20.70482298,0.018611433,6.8919575,0.04,0.05245426,32.77529694,65337
949.2361372,38.77435843,21.18832645,0.038614266,7.655587087,0.04,0.076844307,32.80060933,65337
980.9858169,34.23894029,22.67427873,0.025582428,8.314642036,0.04,0.077048016,32.82664489,65339
994.0106517,32.97369099,22.62124264,0.005,7.572711875,0.04,0.059268691,32.85195718,65339
948.3633321,68.52817958,21.20316226,0.04164185,6.915069005,0.04,0.101714681,32.87726956,65340
944.3685656,87.8854725,19.91091544,0.092898379,6.423696712,0.04,0.161578945,32.90330511,65342
979.1335059,68.20410932,18.72825594,0.094166777,5.985078449,0.04,0.148602162,32.92934067,65343
939.4964602,40.75825812,20.2289649,0.055925516,6.157514432,0.04,0.098664478,32.95465306,65344
874.7391885,40.87177029,22.05903313,0.041861123,6.72975086,0.04,0.100864348,32.97996544,65344
860.9837918,55.49515521,19.85115386,0.091041024,6.325236255,0.04,0.109350197,33.00600089,65346
964.2067722,56.59307432,20.01890195,0.113649212,6.573512954,0.04,0.041776221,33.03131318,65346
